Position,XY,XZ,YZ,
639,0.84747,0.83986,0.84034,
640,0.84526,0.84072,0.83925,
641,0.84291,0.84134,0.83848,
642,0.84178,0.84269,0.83725,
643,0.84153,0.84324,0.83630,
644,0.84140,0.84318,0.83672,
645,0.84127,0.84245,0.83730,
646,0.84095,0.84208,0.83776,
647,0.84039,0.84242,0.83783,
648,0.84025,0.84349,0.83747,
649,0.84090,0.84505,0.83701,
650,0.84138,0.84680,0.83702,
651,0.84150,0.84819,0.83750,
652,0.84176,0.85034,0.83774,
653,0.84372,0.85186,0.83865,
654,0.84581,0.85397,0.83913,
655,0.84752,0.85535,0.83946,
656,0.84928,0.85618,0.83934,
657,0.85105,0.85620,0.83964,
658,0.85280,0.85563,0.84020,
659,0.85427,0.85474,0.84019,
660,0.85540,0.85317,0.84033,
661,0.85618,0.85269,0.84007,
662,0.85740,0.85316,0.84038,
663,0.85877,0.85338,0.84097,
664,0.85965,0.85419,0.84100,
665,0.85965,0.85516,0.84067,
666,0.86019,0.85578,0.84021,
667,0.86195,0.85665,0.84010,
668,0.86448,0.85701,0.84097,
669,0.86647,0.85724,0.84137,
670,0.86805,0.85695,0.84143,
671,0.87044,0.85684,0.84080,
672,0.87227,0.85653,0.83949,
673,0.87471,0.85554,0.83825,
674,0.87725,0.85393,0.83689,
675,0.87917,0.85220,0.83542,
676,0.88098,0.85082,0.83384,
677,0.88286,0.84908,0.83275,
678,0.88397,0.84689,0.83127,
679,0.88452,0.84525,0.82971,
680,0.88458,0.84378,0.82856,
681,0.88472,0.84313,0.82982,
682,0.88430,0.84209,0.83044,
683,0.88452,0.84062,0.83120,
684,0.88494,0.83900,0.83130,
685,0.88471,0.83749,0.83142,
686,0.88363,0.83586,0.83167,
687,0.88170,0.83404,0.83180,
688,0.87907,0.83226,0.83210,
689,0.87668,0.83012,0.83189,
690,0.87466,0.82759,0.83179,
691,0.87203,0.82522,0.83152,
692,0.86888,0.82253,0.83183,
693,0.86557,0.82047,0.83210,
694,0.86348,0.81909,0.83266,
695,0.86124,0.81779,0.83281,
696,0.85827,0.81661,0.83236,
697,0.85559,0.81610,0.83177,
698,0.85275,0.81642,0.83105,
699,0.85090,0.81709,0.82996,
700,0.84932,0.81793,0.82897,
701,0.84750,0.81805,0.82881,
702,0.84549,0.81841,0.82833,
703,0.84287,0.81942,0.82808,
704,0.84165,0.82058,0.82879,
705,0.84024,0.82085,0.82875,
706,0.83878,0.82043,0.82879,
707,0.83759,0.82006,0.82852,
708,0.83694,0.81943,0.82773,
709,0.83726,0.81944,0.82674,
710,0.83756,0.81977,0.82655,
711,0.83866,0.82011,0.82684,
712,0.83898,0.82083,0.82707,
713,0.83866,0.82196,0.82803,
714,0.83782,0.82258,0.82865,
715,0.83686,0.82379,0.82907,
716,0.83591,0.82586,0.82961,
717,0.83487,0.82796,0.83013,
718,0.83309,0.83067,0.83037,
719,0.83085,0.83359,0.83136,
720,0.82988,0.83714,0.83294,
721,0.82884,0.84062,0.83517,
722,0.82749,0.84370,0.83767,
723,0.82662,0.84640,0.83979,
724,0.82593,0.84840,0.84132,
725,0.82557,0.84984,0.84239,
726,0.82464,0.85110,0.84316,
727,0.82327,0.85162,0.84496,
